"pk","sk","analysis_filename","answers","assigned_count","clip_id","clip_index","created_at","finished","finished_at","free_text","item_type","max_assignments","mode","participant_findings","participant_id","stage","story_id","study","study_id","study_label","updated_at","video_watched"
"soups26_vlm_assignment_story","formal_1#story_02#human","story_02.json","","0","","","","","","","story_capacity","6","human","","","","story_02","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_02#vlm","story_02.json","","0","","","","","","","story_capacity","6","vlm","","","","story_02","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_03#human","story_03.json","","0","","","","","","","story_capacity","6","human","","","","story_03","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_03#vlm","story_03.json","","0","","","","","","","story_capacity","6","vlm","","","","story_03","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_04#human","story_04.json","","0","","","","","","","story_capacity","6","human","","","","story_04","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_04#vlm","story_04.json","","0","","","","","","","story_capacity","6","vlm","","","","story_04","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_05#human","story_05.json","","0","","","","","","","story_capacity","6","human","","","","story_05","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_05#vlm","story_05.json","","0","","","","","","","story_capacity","6","vlm","","","","story_05","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_06#human","story_06.json","","0","","","","","","","story_capacity","6","human","","","","story_06","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_06#vlm","story_06.json","","0","","","","","","","story_capacity","6","vlm","","","","story_06","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_07#human","story_07.json","","0","","","","","","","story_capacity","6","human","","","","story_07","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_07#vlm","story_07.json","","0","","","","","","","story_capacity","6","vlm","","","","story_07","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_08#human","story_08.json","","0","","","","","","","story_capacity","6","human","","","","story_08","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_08#vlm","story_08.json","","0","","","","","","","story_capacity","6","vlm","","","","story_08","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_09#human","story_09.json","","0","","","","","","","story_capacity","6","human","","","","story_09","formal_1","","","",""
"soups26_vlm_assignment_story","formal_1#story_09#vlm","story_09.json","","0","","","","","","","story_capacity","6","vlm","","","","story_09","formal_1","","","",""
"soups26_vlm_assignment_story","pilot#story_01#human","story_01.json","","0","","","","","","","story_capacity","6","human","","","","story_01","pilot","","","",""
"soups26_vlm_assignment_story","pilot#story_01#vlm","story_01.json","","0","","","","","","","story_capacity","6","vlm","","","","story_01","pilot","","","",""
"soups26_vlm_assignment_story","pilot#story_02#human","story_02.json","","0","","","","","","","story_capacity","6","human","","","","story_02","pilot","","","",""
"soups26_vlm_assignment_story","pilot#story_02#vlm","story_02.json","","0","","","","","","","story_capacity","6","vlm","","","","story_02","pilot","","","",""
